update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,32000,8,64,-500.0,500.0,546.4135158976487,True
9,36000,8,72,-500.0,500.0,546.4135158976487,True
10,40000,8,80,-500.0,500.0,546.4135158976487,True
11,44000,8,88,-500.0,500.0,546.4135158976487,True
12,48000,8,96,-500.0,500.0,546.4135158976487,True
13,52000,8,104,-500.0,500.0,546.4135158976487,True
14,56000,8,112,-500.0,500.0,546.4135158976487,True
15,60000,8,120,-500.0,500.0,546.4135158976487,True
16,64000,8,128,-500.0,500.0,546.4135158976487,True
17,68000,8,136,-500.0,500.0,546.4135158976487,True
18,72000,8,144,-500.0,500.0,546.4135158976487,True
19,76000,8,152,-500.0,500.0,546.4135158976487,True
20,80000,8,160,-500.0,500.0,546.4135158976487,True
21,84000,8,168,-500.0,500.0,546.4135158976487,True
22,88000,8,176,-500.0,500.0,546.4135158976487,True
23,92000,8,184,-500.0,500.0,546.4135158976487,True
24,95989,8,192,-498.5,498.625,546.4135158976487,True
25,99989,8,200,-500.0,500.0,546.4135158976487,True
26,103989,8,208,-500.0,500.0,546.4135158976487,True
27,107989,8,216,-500.0,500.0,546.4135158976487,True
28,111989,8,224,-500.0,500.0,546.4135158976487,True
29,115989,8,232,-500.0,500.0,546.4135158976487,True
30,119989,8,240,-500.0,500.0,546.4135158976487,True
31,123989,8,248,-500.0,500.0,546.4135158976487,True
32,127989,8,256,-500.0,500.0,546.4135158976487,True
33,131989,8,264,-500.0,500.0,546.4135158976487,True
34,135989,8,272,-500.0,500.0,546.4135158976487,True
35,139989,8,280,-500.0,500.0,546.4135158976487,True
36,143989,8,288,-500.0,500.0,546.4135158976487,True
37,147989,8,296,-500.0,500.0,546.4135158976487,True
38,151989,8,304,-500.0,500.0,546.4135158976487,True
39,155989,8,312,-500.0,500.0,546.4135158976487,True
40,159989,8,320,-500.0,500.0,546.4135158976487,True
41,163989,8,328,-500.0,500.0,546.4135158976487,True
42,167989,8,336,-500.0,500.0,546.4135158976487,True
43,171989,8,344,-500.0,500.0,546.4135158976487,True
44,175989,8,352,-500.0,500.0,546.4135158976487,True
45,179989,8,360,-500.0,500.0,546.4135158976487,True
46,183989,8,368,-500.0,500.0,546.4135158976487,True
47,187989,8,376,-500.0,500.0,546.4135158976487,True
48,191989,8,384,-500.0,500.0,546.4135158976487,True
49,195989,8,392,-500.0,500.0,546.4135158976487,True
50,199989,8,400,-500.0,500.0,546.4135158976487,True
51,203989,8,408,-500.0,500.0,546.4135158976487,True
52,207989,8,416,-500.0,500.0,546.4135158976487,True
53,211989,8,424,-500.0,500.0,546.4135158976487,True
54,215989,8,432,-500.0,500.0,546.4135158976487,True
55,219989,8,440,-500.0,500.0,546.4135158976487,True
56,223989,8,448,-500.0,500.0,546.4135158976487,True
57,227989,8,456,-500.0,500.0,546.4135158976487,True
58,231989,8,464,-500.0,500.0,546.4135158976487,True
59,235989,8,472,-500.0,500.0,546.4135158976487,True
60,239989,8,480,-500.0,500.0,546.4135158976487,True
61,243989,8,488,-500.0,500.0,546.4135158976487,True
62,247989,8,496,-500.0,500.0,546.4135158976487,True
63,251989,8,504,-500.0,500.0,546.4135158976487,True
64,255989,8,512,-500.0,500.0,546.4135158976487,True
65,259989,8,520,-500.0,500.0,546.4135158976487,True
66,263989,8,528,-500.0,500.0,546.4135158976487,True
67,267989,8,536,-500.0,500.0,546.4135158976487,True
68,271865,8,544,-484.375,484.5,546.4135158976487,True
69,275865,8,552,-500.0,500.0,546.4135158976487,True
70,279865,8,560,-500.0,500.0,546.4135158976487,True
71,283865,8,568,-500.0,500.0,546.4135158976487,True
72,287865,8,576,-500.0,500.0,546.4135158976487,True
73,291865,8,584,-500.0,500.0,546.4135158976487,True
74,295865,8,592,-500.0,500.0,546.4135158976487,True
75,299865,8,600,-500.0,500.0,546.4135158976487,True
76,303865,8,608,-500.0,500.0,546.4135158976487,True
77,307865,8,616,-500.0,500.0,546.4135158976487,True
78,311865,8,624,-500.0,500.0,546.4135158976487,True
79,315865,8,632,-500.0,500.0,546.4135158976487,True
80,319865,8,640,-500.0,500.0,546.4135158976487,True
81,323865,8,648,-500.0,500.0,546.4135158976487,True
82,327865,8,656,-500.0,500.0,546.4135158976487,True
83,331865,8,664,-500.0,500.0,546.4135158976487,True
84,335865,8,672,-500.0,500.0,546.4135158976487,True
85,339865,8,680,-500.0,500.0,546.4135158976487,True
86,343865,8,688,-500.0,500.0,546.4135158976487,True
87,347865,8,696,-500.0,500.0,546.4135158976487,True
88,351865,8,704,-500.0,500.0,546.4135158976487,True
89,355865,8,712,-500.0,500.0,546.4135158976487,True
90,359865,8,720,-500.0,500.0,546.4135158976487,True
91,363865,8,728,-500.0,500.0,546.4135158976487,True
92,367865,8,736,-500.0,500.0,546.4135158976487,True
93,371865,8,744,-500.0,500.0,546.4135158976487,True
94,375865,8,752,-500.0,500.0,546.4135158976487,True
95,379865,8,760,-500.0,500.0,546.4135158976487,True
96,383865,8,768,-500.0,500.0,546.4135158976487,True
97,387865,8,776,-500.0,500.0,546.4135158976487,True
98,391865,8,784,-500.0,500.0,546.4135158976487,True
99,395865,8,792,-500.0,500.0,546.4135158976487,True
100,399865,8,800,-500.0,500.0,546.4135158976487,True
101,403865,8,808,-500.0,500.0,546.4135158976487,True
102,407865,8,816,-500.0,500.0,546.4135158976487,True
103,411865,8,824,-500.0,500.0,546.4135158976487,True
104,415853,8,832,-498.375,498.5,546.4135158976487,True
105,419853,8,840,-500.0,500.0,546.4135158976487,True
106,423853,8,848,-500.0,500.0,546.4135158976487,True
107,427853,8,856,-500.0,500.0,546.4135158976487,True
108,431853,8,864,-500.0,500.0,546.4135158976487,True
109,435853,8,872,-500.0,500.0,546.4135158976487,True
110,439853,8,880,-500.0,500.0,546.4135158976487,True
111,443853,8,888,-500.0,500.0,546.4135158976487,True
112,447853,8,896,-500.0,500.0,546.4135158976487,True
113,451853,8,904,-500.0,500.0,546.4135158976487,True
114,455853,8,912,-500.0,500.0,546.4135158976487,True
115,459853,8,920,-500.0,500.0,546.4135158976487,True
116,463853,8,928,-500.0,500.0,546.4135158976487,True
117,467853,8,936,-500.0,500.0,546.4135158976487,True
118,471853,8,944,-500.0,500.0,546.4135158976487,True
119,475853,8,952,-500.0,500.0,546.4135158976487,True
120,479853,8,960,-500.0,500.0,546.4135158976487,True
121,483853,8,968,-500.0,500.0,546.4135158976487,True
122,487853,8,976,-500.0,500.0,546.4135158976487,True
123,491853,8,984,-500.0,500.0,546.4135158976487,True
124,495853,8,992,-500.0,500.0,546.4135158976487,True
125,499853,8,1000,-500.0,500.0,546.4135158976487,True
126,503853,8,1008,-500.0,500.0,546.4135158976487,True
127,507853,8,1016,-500.0,500.0,546.4135158976487,True
