update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3959,-494.75,494.875,0.0,False
2,7677,-464.375,464.75,0.0,False
3,11620,-492.75,492.875,0.0,False
4,15370,-468.25,468.75,0.0,False
5,19147,-471.875,472.125,0.0,False
6,22955,-475.75,476.0,0.0,False
7,26878,-490.125,490.375,0.0,False
8,30776,-487.0,487.25,0.0,False
9,34284,-438.125,438.5,0.0,False
10,38240,-494.375,494.5,0.0,False
11,42170,-491.125,491.25,0.0,False
12,46170,-500.0,500.0,0.0,False
13,50026,-481.875,482.0,0.0,False
14,51200,-293.25,293.5,0.0,False
