update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,8000,-500.0,500.0,0.0,False
3,12000,-500.0,500.0,0.0,False
4,16000,-500.0,500.0,0.0,False
5,20000,-500.0,500.0,0.0,False
6,24000,-500.0,500.0,0.0,False
7,28000,-500.0,500.0,0.0,False
8,32000,-500.0,500.0,0.0,False
9,36000,-500.0,500.0,0.0,False
10,40000,-500.0,500.0,0.0,False
11,44000,-500.0,500.0,0.0,False
12,48000,-500.0,500.0,0.0,False
13,52000,-500.0,500.0,0.0,False
14,56000,-500.0,500.0,0.0,False
15,60000,-500.0,500.0,0.0,False
16,64000,-500.0,500.0,0.0,False
17,68000,-500.0,500.0,0.0,False
18,72000,-500.0,500.0,0.0,False
19,76000,-500.0,500.0,0.0,False
20,80000,-500.0,500.0,0.0,False
21,84000,-500.0,500.0,0.0,False
22,88000,-500.0,500.0,0.0,False
23,91951,-493.75,493.875,0.0,False
24,95951,-500.0,500.0,0.0,False
25,99951,-500.0,500.0,0.0,False
26,103951,-500.0,500.0,0.0,False
27,107951,-500.0,500.0,0.0,False
28,111951,-500.0,500.0,0.0,False
29,115951,-500.0,500.0,0.0,False
30,119951,-500.0,500.0,0.0,False
31,122880,-488.1666666666667,488.1666666666667,0.0,False
