update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,32000,8,64,-500.0,500.0,546.4135158976487,True
9,36000,8,72,-500.0,500.0,546.4135158976487,True
10,40000,8,80,-500.0,500.0,546.4135158976487,True
11,44000,8,88,-500.0,500.0,546.4135158976487,True
12,48000,8,96,-500.0,500.0,546.4135158976487,True
13,52000,8,104,-500.0,500.0,546.4135158976487,True
14,56000,8,112,-500.0,500.0,546.4135158976487,True
15,60000,8,120,-500.0,500.0,546.4135158976487,True
16,64000,8,128,-500.0,500.0,546.4135158976487,True
17,68000,8,136,-500.0,500.0,546.4135158976487,True
18,72000,8,144,-500.0,500.0,546.4135158976487,True
19,76000,8,152,-500.0,500.0,546.4135158976487,True
20,80000,8,160,-500.0,500.0,546.4135158976487,True
21,84000,8,168,-500.0,500.0,546.4135158976487,True
22,88000,8,176,-500.0,500.0,546.4135158976487,True
23,92000,8,184,-500.0,500.0,546.4135158976487,True
24,96000,8,192,-500.0,500.0,546.4135158976487,True
25,100000,8,200,-500.0,500.0,546.4135158976487,True
26,104000,8,208,-500.0,500.0,546.4135158976487,True
27,108000,8,216,-500.0,500.0,546.4135158976487,True
28,112000,8,224,-500.0,500.0,546.4135158976487,True
29,116000,8,232,-500.0,500.0,546.4135158976487,True
30,120000,8,240,-500.0,500.0,546.4135158976487,True
31,124000,8,248,-500.0,500.0,546.4135158976487,True
32,128000,8,256,-500.0,500.0,546.4135158976487,True
33,132000,8,264,-500.0,500.0,546.4135158976487,True
34,136000,8,272,-500.0,500.0,546.4135158976487,True
35,140000,8,280,-500.0,500.0,546.4135158976487,True
36,144000,8,288,-500.0,500.0,546.4135158976487,True
37,148000,8,296,-500.0,500.0,546.4135158976487,True
38,152000,8,304,-500.0,500.0,546.4135158976487,True
39,156000,8,312,-500.0,500.0,546.4135158976487,True
40,160000,8,320,-500.0,500.0,546.4135158976487,True
41,164000,8,328,-500.0,500.0,546.4135158976487,True
42,167987,8,336,-498.25,498.375,546.4135158976487,True
43,171987,8,344,-500.0,500.0,546.4135158976487,True
44,175987,8,352,-500.0,500.0,546.4135158976487,True
45,179987,8,360,-500.0,500.0,546.4135158976487,True
46,183987,8,368,-500.0,500.0,546.4135158976487,True
47,187987,8,376,-500.0,500.0,546.4135158976487,True
48,191987,8,384,-500.0,500.0,546.4135158976487,True
49,195987,8,392,-500.0,500.0,546.4135158976487,True
50,199987,8,400,-500.0,500.0,546.4135158976487,True
51,203987,8,408,-500.0,500.0,546.4135158976487,True
52,207987,8,416,-500.0,500.0,546.4135158976487,True
53,211987,8,424,-500.0,500.0,546.4135158976487,True
54,215987,8,432,-500.0,500.0,546.4135158976487,True
55,219987,8,440,-500.0,500.0,546.4135158976487,True
56,223987,8,448,-500.0,500.0,546.4135158976487,True
57,227987,8,456,-500.0,500.0,546.4135158976487,True
58,231987,8,464,-500.0,500.0,546.4135158976487,True
59,235987,8,472,-500.0,500.0,546.4135158976487,True
60,239987,8,480,-500.0,500.0,546.4135158976487,True
61,243987,8,488,-500.0,500.0,546.4135158976487,True
62,247987,8,496,-500.0,500.0,546.4135158976487,True
63,251987,8,504,-500.0,500.0,546.4135158976487,True
64,255987,8,512,-500.0,500.0,546.4135158976487,True
65,259987,8,520,-500.0,500.0,546.4135158976487,True
66,263935,8,528,-493.375,493.5,546.4135158976487,True
67,267877,8,536,-492.625,492.75,546.4135158976487,True
68,271877,8,544,-500.0,500.0,546.4135158976487,True
69,275877,8,552,-500.0,500.0,546.4135158976487,True
70,279877,8,560,-500.0,500.0,546.4135158976487,True
71,283877,8,568,-500.0,500.0,546.4135158976487,True
72,287877,8,576,-500.0,500.0,546.4135158976487,True
73,291877,8,584,-500.0,500.0,546.4135158976487,True
74,295877,8,592,-500.0,500.0,546.4135158976487,True
75,299833,8,600,-494.375,494.5,546.4135158976487,True
76,303833,8,608,-500.0,500.0,546.4135158976487,True
77,307833,8,616,-500.0,500.0,546.4135158976487,True
78,311833,8,624,-500.0,500.0,546.4135158976487,True
79,315833,8,632,-500.0,500.0,546.4135158976487,True
80,319833,8,640,-500.0,500.0,546.4135158976487,True
81,323791,8,648,-494.625,494.75,546.4135158976487,True
82,327791,8,656,-500.0,500.0,546.4135158976487,True
83,331791,8,664,-500.0,500.0,546.4135158976487,True
84,335791,8,672,-500.0,500.0,546.4135158976487,True
85,339779,8,680,-498.375,498.5,546.4135158976487,True
86,343779,8,688,-500.0,500.0,546.4135158976487,True
87,347779,8,696,-500.0,500.0,546.4135158976487,True
88,351779,8,704,-500.0,500.0,546.4135158976487,True
89,355779,8,712,-500.0,500.0,546.4135158976487,True
90,359779,8,720,-500.0,500.0,546.4135158976487,True
91,363779,8,728,-500.0,500.0,546.4135158976487,True
92,367779,8,736,-500.0,500.0,546.4135158976487,True
93,371779,8,744,-500.0,500.0,546.4135158976487,True
94,375779,8,752,-500.0,500.0,546.4135158976487,True
95,379779,8,760,-500.0,500.0,546.4135158976487,True
96,383779,8,768,-500.0,500.0,546.4135158976487,True
97,387779,8,776,-500.0,500.0,546.4135158976487,True
98,391779,8,784,-500.0,500.0,546.4135158976487,True
99,395779,8,792,-500.0,500.0,546.4135158976487,True
100,399779,8,800,-500.0,500.0,546.4135158976487,True
101,403779,8,808,-500.0,500.0,546.4135158976487,True
102,407779,8,816,-500.0,500.0,546.4135158976487,True
103,411779,8,824,-500.0,500.0,546.4135158976487,True
104,415779,8,832,-500.0,500.0,546.4135158976487,True
105,419779,8,840,-500.0,500.0,546.4135158976487,True
106,423779,8,848,-500.0,500.0,546.4135158976487,True
107,427779,8,856,-500.0,500.0,546.4135158976487,True
108,431779,8,864,-500.0,500.0,546.4135158976487,True
109,435779,8,872,-500.0,500.0,546.4135158976487,True
110,439758,8,880,-497.25,497.375,546.4135158976487,True
111,443758,8,888,-500.0,500.0,546.4135158976487,True
112,447758,8,896,-500.0,500.0,546.4135158976487,True
113,451758,8,904,-500.0,500.0,546.4135158976487,True
114,455758,8,912,-500.0,500.0,546.4135158976487,True
115,459566,8,920,-475.875,476.0,546.4135158976487,True
116,463566,8,928,-500.0,500.0,546.4135158976487,True
117,467256,8,936,-461.0,461.25,546.4135158976487,True
118,471256,8,944,-500.0,500.0,546.4135158976487,True
119,475256,8,952,-500.0,500.0,546.4135158976487,True
120,479256,8,960,-500.0,500.0,546.4135158976487,True
121,483256,8,968,-500.0,500.0,546.4135158976487,True
122,487256,8,976,-500.0,500.0,546.4135158976487,True
123,491156,8,984,-487.375,487.5,546.4135158976487,True
124,495156,8,992,-500.0,500.0,546.4135158976487,True
125,499156,8,1000,-500.0,500.0,546.4135158976487,True
126,503156,8,1008,-500.0,500.0,546.4135158976487,True
127,507156,8,1016,-500.0,500.0,546.4135158976487,True
