method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
reward_only,,101,50,4096,16,14,5.4724110967256735e-14,5.4724110967256735e-14,217.22540304324096,5.5258532348021206e-14,3931074420781640.5,15.594511265704817,2.0255315530283053,2,13.512527117304646,1.765483187112338e-15,3.126388037344441e-13
reward_only,,101,100,4096,16,16,2.6479416621634486e-10,2.6479416621634486e-10,351.5915544325476,2.647939768834292e-10,1327792869651.7488,12.12313033212291,2.13541798373736,2,50.237491592596214,1.7531292271527333e-15,3.694822225952521e-13
reward_only,,101,150,4096,16,16,1.3603940823014563e-08,1.3603940823014563e-08,1012.2547278339501,1.3603938137198602e-08,74408948175.53165,10.871625165513349,1.6903686650788896,2,87.88837754373782,2.5876313748175254e-15,1.4779288903810084e-12
reward_only,,101,200,4096,16,16,2.0356440045101598e-08,2.0356440045101598e-08,1453.2192322794253,2.035644232528968e-08,71388664534.66812,10.853629257702407,1.5962956157526815,2,89.88511552695486,9.01768355456052e-16,1.3642420526593924e-12
reward_only,,101,250,4096,16,16,4.983957480894137e-08,4.983957480894137e-08,1792.4872204675735,4.9839574135284686e-08,35965139180.40394,10.555881745303132,1.5245208436523237,2,91.21219069342786,1.673320450921848e-15,1.4122036873231991e-12
reward_only,,102,50,4096,16,15,8.003763712378486e-13,8.003763712378486e-13,261.97174812359646,8.017945869839892e-13,326731749473419.3,14.514191338182654,2.1111601796323565,2,18.803455444781903,1.4748509226930395e-15,2.2737367544323206e-13
reward_only,,102,100,4096,16,16,4.193724173733962e-12,4.193724173733962e-12,214.41499261073042,4.195008868442025e-12,51111928325996.945,13.708522266115517,2.247628914944877,2,36.71513223023146,1.5264535473149803e-15,8.992806499463768e-14
reward_only,,102,150,4096,16,16,3.849977968586382e-11,3.849977968586382e-11,464.5151585269733,3.850055491475928e-11,12065154893362.344,13.081532901785687,2.007392120236939,2,64.78456025609859,1.142589912071953e-15,1.1368683772161603e-13
reward_only,,102,200,4096,16,16,3.273392259729803e-11,3.273392259729803e-11,828.6288086686676,3.2732982077940423e-11,25314797371520.316,13.403374455492056,1.721112842450061,2,84.44415829698454,1.0827453038128611e-15,2.9220321908635105e-13
reward_only,,102,250,4096,16,16,2.2368435851670507e-11,2.2368435851670507e-11,1023.2971598950842,2.2368860310932963e-11,45746504098599.05,13.660357911327106,1.635455957332638,2,88.08781037634236,1.3688776812164883e-15,3.4762167103186137e-13
reward_only,,103,50,4096,16,15,1.6404691894627099e-12,1.6404691894627099e-12,510.7539982958074,1.6394526451255934e-12,311539341995864.8,14.493512898291602,1.8643780455565104,2,1.8608728139040038,1.4562590700276092e-15,1.7053025658242404e-13
reward_only,,103,100,4096,16,16,1.1260317508140615e-10,1.1260317508140615e-10,687.7671481048479,1.1260278841352576e-10,6107905122021.235,12.785892282264104,1.8985649785344805,2,54.623028535205634,1.7080053587769534e-15,1.1368683772161603e-12
