update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,0.0,False
2,8000,8,16,-500.0,500.0,0.0,False
3,12000,8,24,-500.0,500.0,0.0,False
4,16000,8,32,-500.0,500.0,0.0,False
5,20000,8,40,-500.0,500.0,0.0,False
6,24000,8,48,-500.0,500.0,0.0,False
7,28000,8,56,-500.0,500.0,0.0,False
8,32000,8,64,-500.0,500.0,0.0,False
9,36000,8,72,-500.0,500.0,0.0,False
10,40000,8,80,-500.0,500.0,0.0,False
11,44000,8,88,-500.0,500.0,0.0,False
12,48000,8,96,-500.0,500.0,0.0,False
13,52000,8,104,-500.0,500.0,0.0,False
14,56000,8,112,-500.0,500.0,0.0,False
15,60000,8,120,-500.0,500.0,0.0,False
16,64000,8,128,-500.0,500.0,0.0,False
17,68000,8,136,-500.0,500.0,0.0,False
18,72000,8,144,-500.0,500.0,0.0,False
19,76000,8,152,-500.0,500.0,0.0,False
20,80000,8,160,-500.0,500.0,0.0,False
21,84000,8,168,-500.0,500.0,0.0,False
22,88000,8,176,-500.0,500.0,0.0,False
23,92000,8,184,-500.0,500.0,0.0,False
24,96000,8,192,-500.0,500.0,0.0,False
25,100000,8,200,-500.0,500.0,0.0,False
26,104000,8,208,-500.0,500.0,0.0,False
27,108000,8,216,-500.0,500.0,0.0,False
28,112000,8,224,-500.0,500.0,0.0,False
29,116000,8,232,-500.0,500.0,0.0,False
30,120000,8,240,-500.0,500.0,0.0,False
31,124000,8,248,-500.0,500.0,0.0,False
32,128000,8,256,-500.0,500.0,0.0,False
33,132000,8,264,-500.0,500.0,0.0,False
34,136000,8,272,-500.0,500.0,0.0,False
35,140000,8,280,-500.0,500.0,0.0,False
36,144000,8,288,-500.0,500.0,0.0,False
37,148000,8,296,-500.0,500.0,0.0,False
38,152000,8,304,-500.0,500.0,0.0,False
39,156000,8,312,-500.0,500.0,0.0,False
40,160000,8,320,-500.0,500.0,0.0,False
41,164000,8,328,-500.0,500.0,0.0,False
42,168000,8,336,-500.0,500.0,0.0,False
43,172000,8,344,-500.0,500.0,0.0,False
44,176000,8,352,-500.0,500.0,0.0,False
45,180000,8,360,-500.0,500.0,0.0,False
46,184000,8,368,-500.0,500.0,0.0,False
47,188000,8,376,-500.0,500.0,0.0,False
48,192000,8,384,-500.0,500.0,0.0,False
49,196000,8,392,-500.0,500.0,0.0,False
50,200000,8,400,-500.0,500.0,0.0,False
51,204000,8,408,-500.0,500.0,0.0,False
52,208000,8,416,-500.0,500.0,0.0,False
53,212000,8,424,-500.0,500.0,0.0,False
54,216000,8,432,-500.0,500.0,0.0,False
55,220000,8,440,-500.0,500.0,0.0,False
56,224000,8,448,-500.0,500.0,0.0,False
57,228000,8,456,-500.0,500.0,0.0,False
58,232000,8,464,-500.0,500.0,0.0,False
59,236000,8,472,-500.0,500.0,0.0,False
60,240000,8,480,-500.0,500.0,0.0,False
61,244000,8,488,-500.0,500.0,0.0,False
62,248000,8,496,-500.0,500.0,0.0,False
63,252000,8,504,-500.0,500.0,0.0,False
64,256000,8,512,-500.0,500.0,0.0,False
65,260000,8,520,-500.0,500.0,0.0,False
66,264000,8,528,-500.0,500.0,0.0,False
67,268000,8,536,-500.0,500.0,0.0,False
68,272000,8,544,-500.0,500.0,0.0,False
69,276000,8,552,-500.0,500.0,0.0,False
70,280000,8,560,-500.0,500.0,0.0,False
71,284000,8,568,-500.0,500.0,0.0,False
72,288000,8,576,-500.0,500.0,0.0,False
73,292000,8,584,-500.0,500.0,0.0,False
74,296000,8,592,-500.0,500.0,0.0,False
75,300000,8,600,-500.0,500.0,0.0,False
76,304000,8,608,-500.0,500.0,0.0,False
77,308000,8,616,-500.0,500.0,0.0,False
78,312000,8,624,-500.0,500.0,0.0,False
79,316000,8,632,-500.0,500.0,0.0,False
80,320000,8,640,-500.0,500.0,0.0,False
81,324000,8,648,-500.0,500.0,0.0,False
82,328000,8,656,-500.0,500.0,0.0,False
83,332000,8,664,-500.0,500.0,0.0,False
84,336000,8,672,-500.0,500.0,0.0,False
85,340000,8,680,-500.0,500.0,0.0,False
86,343950,8,688,-493.625,493.75,0.0,False
87,347950,8,696,-500.0,500.0,0.0,False
88,351950,8,704,-500.0,500.0,0.0,False
89,355950,8,712,-500.0,500.0,0.0,False
90,359950,8,720,-500.0,500.0,0.0,False
91,363950,8,728,-500.0,500.0,0.0,False
92,367950,8,736,-500.0,500.0,0.0,False
93,371950,8,744,-500.0,500.0,0.0,False
94,375950,8,752,-500.0,500.0,0.0,False
95,379950,8,760,-500.0,500.0,0.0,False
96,383950,8,768,-500.0,500.0,0.0,False
97,387950,8,776,-500.0,500.0,0.0,False
98,391950,8,784,-500.0,500.0,0.0,False
99,395950,8,792,-500.0,500.0,0.0,False
100,399950,8,800,-500.0,500.0,0.0,False
101,403950,8,808,-500.0,500.0,0.0,False
102,407950,8,816,-500.0,500.0,0.0,False
103,411950,8,824,-500.0,500.0,0.0,False
104,415950,8,832,-500.0,500.0,0.0,False
105,419950,8,840,-500.0,500.0,0.0,False
106,423950,8,848,-500.0,500.0,0.0,False
107,427950,8,856,-500.0,500.0,0.0,False
108,431950,8,864,-500.0,500.0,0.0,False
109,435950,8,872,-500.0,500.0,0.0,False
110,439950,8,880,-500.0,500.0,0.0,False
111,443950,8,888,-500.0,500.0,0.0,False
112,447950,8,896,-500.0,500.0,0.0,False
113,451950,8,904,-500.0,500.0,0.0,False
114,455950,8,912,-500.0,500.0,0.0,False
115,459950,8,920,-500.0,500.0,0.0,False
116,463950,8,928,-500.0,500.0,0.0,False
117,467950,8,936,-500.0,500.0,0.0,False
118,471950,8,944,-500.0,500.0,0.0,False
119,475950,8,952,-500.0,500.0,0.0,False
120,479950,8,960,-500.0,500.0,0.0,False
121,483950,8,968,-500.0,500.0,0.0,False
122,487950,8,976,-500.0,500.0,0.0,False
123,491950,8,984,-500.0,500.0,0.0,False
124,495950,8,992,-500.0,500.0,0.0,False
125,499950,8,1000,-500.0,500.0,0.0,False
126,503950,8,1008,-500.0,500.0,0.0,False
127,507950,8,1016,-500.0,500.0,0.0,False
128,511950,8,1024,-500.0,500.0,0.0,False
129,515950,8,1032,-500.0,500.0,0.0,False
130,519950,8,1040,-500.0,500.0,0.0,False
131,523950,8,1048,-500.0,500.0,0.0,False
132,527950,8,1056,-500.0,500.0,0.0,False
133,531950,8,1064,-500.0,500.0,0.0,False
134,535950,8,1072,-500.0,500.0,0.0,False
135,539950,8,1080,-500.0,500.0,0.0,False
136,543950,8,1088,-500.0,500.0,0.0,False
137,547950,8,1096,-500.0,500.0,0.0,False
138,551950,8,1104,-500.0,500.0,0.0,False
139,555950,8,1112,-500.0,500.0,0.0,False
140,559950,8,1120,-500.0,500.0,0.0,False
141,563950,8,1128,-500.0,500.0,0.0,False
142,567950,8,1136,-500.0,500.0,0.0,False
143,571950,8,1144,-500.0,500.0,0.0,False
144,575950,8,1152,-500.0,500.0,0.0,False
145,579950,8,1160,-500.0,500.0,0.0,False
146,583950,8,1168,-500.0,500.0,0.0,False
147,587950,8,1176,-500.0,500.0,0.0,False
148,591950,8,1184,-500.0,500.0,0.0,False
149,595950,8,1192,-500.0,500.0,0.0,False
150,599950,8,1200,-500.0,500.0,0.0,False
151,603950,8,1208,-500.0,500.0,0.0,False
152,607950,8,1216,-500.0,500.0,0.0,False
153,611950,8,1224,-500.0,500.0,0.0,False
154,615950,8,1232,-500.0,500.0,0.0,False
155,619950,8,1240,-500.0,500.0,0.0,False
156,623950,8,1248,-500.0,500.0,0.0,False
157,627950,8,1256,-500.0,500.0,0.0,False
158,631950,8,1264,-500.0,500.0,0.0,False
159,635950,8,1272,-500.0,500.0,0.0,False
160,639950,8,1280,-500.0,500.0,0.0,False
161,643950,8,1288,-500.0,500.0,0.0,False
162,647950,8,1296,-500.0,500.0,0.0,False
163,651950,8,1304,-500.0,500.0,0.0,False
164,655950,8,1312,-500.0,500.0,0.0,False
165,659950,8,1320,-500.0,500.0,0.0,False
166,663950,8,1328,-500.0,500.0,0.0,False
167,667950,8,1336,-500.0,500.0,0.0,False
168,671950,8,1344,-500.0,500.0,0.0,False
169,675950,8,1352,-500.0,500.0,0.0,False
170,679950,8,1360,-500.0,500.0,0.0,False
171,683950,8,1368,-500.0,500.0,0.0,False
172,687950,8,1376,-500.0,500.0,0.0,False
173,691950,8,1384,-500.0,500.0,0.0,False
174,695950,8,1392,-500.0,500.0,0.0,False
175,699950,8,1400,-500.0,500.0,0.0,False
176,703950,8,1408,-500.0,500.0,0.0,False
177,707950,8,1416,-500.0,500.0,0.0,False
178,711950,8,1424,-500.0,500.0,0.0,False
179,715950,8,1432,-500.0,500.0,0.0,False
180,719950,8,1440,-500.0,500.0,0.0,False
181,723950,8,1448,-500.0,500.0,0.0,False
182,727950,8,1456,-500.0,500.0,0.0,False
183,731950,8,1464,-500.0,500.0,0.0,False
184,735950,8,1472,-500.0,500.0,0.0,False
185,739950,8,1480,-500.0,500.0,0.0,False
186,743950,8,1488,-500.0,500.0,0.0,False
187,747950,8,1496,-500.0,500.0,0.0,False
188,751950,8,1504,-500.0,500.0,0.0,False
189,755950,8,1512,-500.0,500.0,0.0,False
190,759950,8,1520,-500.0,500.0,0.0,False
191,763950,8,1528,-500.0,500.0,0.0,False
192,767950,8,1536,-500.0,500.0,0.0,False
193,771950,8,1544,-500.0,500.0,0.0,False
194,775950,8,1552,-500.0,500.0,0.0,False
195,779950,8,1560,-500.0,500.0,0.0,False
196,783950,8,1568,-500.0,500.0,0.0,False
197,787950,8,1576,-500.0,500.0,0.0,False
198,791950,8,1584,-500.0,500.0,0.0,False
199,795950,8,1592,-500.0,500.0,0.0,False
200,799950,8,1600,-500.0,500.0,0.0,False
201,803950,8,1608,-500.0,500.0,0.0,False
202,807950,8,1616,-500.0,500.0,0.0,False
203,811950,8,1624,-500.0,500.0,0.0,False
204,815950,8,1632,-500.0,500.0,0.0,False
205,819950,8,1640,-500.0,500.0,0.0,False
206,823950,8,1648,-500.0,500.0,0.0,False
207,827950,8,1656,-500.0,500.0,0.0,False
208,831950,8,1664,-500.0,500.0,0.0,False
209,835950,8,1672,-500.0,500.0,0.0,False
210,839950,8,1680,-500.0,500.0,0.0,False
211,843950,8,1688,-500.0,500.0,0.0,False
212,847950,8,1696,-500.0,500.0,0.0,False
213,851950,8,1704,-500.0,500.0,0.0,False
214,855950,8,1712,-500.0,500.0,0.0,False
215,859950,8,1720,-500.0,500.0,0.0,False
216,863950,8,1728,-500.0,500.0,0.0,False
217,867950,8,1736,-500.0,500.0,0.0,False
218,871950,8,1744,-500.0,500.0,0.0,False
219,875950,8,1752,-500.0,500.0,0.0,False
220,879950,8,1760,-500.0,500.0,0.0,False
221,883950,8,1768,-500.0,500.0,0.0,False
222,887950,8,1776,-500.0,500.0,0.0,False
223,891950,8,1784,-500.0,500.0,0.0,False
224,895950,8,1792,-500.0,500.0,0.0,False
225,899950,8,1800,-500.0,500.0,0.0,False
226,903950,8,1808,-500.0,500.0,0.0,False
227,907950,8,1816,-500.0,500.0,0.0,False
228,911950,8,1824,-500.0,500.0,0.0,False
229,915950,8,1832,-500.0,500.0,0.0,False
230,919950,8,1840,-500.0,500.0,0.0,False
231,923950,8,1848,-500.0,500.0,0.0,False
232,927950,8,1856,-500.0,500.0,0.0,False
233,931950,8,1864,-500.0,500.0,0.0,False
234,935950,8,1872,-500.0,500.0,0.0,False
235,939950,8,1880,-500.0,500.0,0.0,False
236,943950,8,1888,-500.0,500.0,0.0,False
237,947950,8,1896,-500.0,500.0,0.0,False
238,951950,8,1904,-500.0,500.0,0.0,False
239,955950,8,1912,-500.0,500.0,0.0,False
240,959950,8,1920,-500.0,500.0,0.0,False
241,963950,8,1928,-500.0,500.0,0.0,False
242,967950,8,1936,-500.0,500.0,0.0,False
243,971950,8,1944,-500.0,500.0,0.0,False
244,975950,8,1952,-500.0,500.0,0.0,False
245,979950,8,1960,-500.0,500.0,0.0,False
246,983950,8,1968,-500.0,500.0,0.0,False
247,987950,8,1976,-500.0,500.0,0.0,False
248,991950,8,1984,-500.0,500.0,0.0,False
249,995950,8,1992,-500.0,500.0,0.0,False
250,999950,8,2000,-500.0,500.0,0.0,False
251,1003950,8,2008,-500.0,500.0,0.0,False
252,1007950,8,2016,-500.0,500.0,0.0,False
253,1011950,8,2024,-500.0,500.0,0.0,False
254,1015950,8,2032,-500.0,500.0,0.0,False
255,1019950,8,2040,-500.0,500.0,0.0,False
256,1023950,8,2048,-500.0,500.0,0.0,False
257,1027950,8,2056,-500.0,500.0,0.0,False
258,1031950,8,2064,-500.0,500.0,0.0,False
259,1035950,8,2072,-500.0,500.0,0.0,False
260,1039950,8,2080,-500.0,500.0,0.0,False
261,1043950,8,2088,-500.0,500.0,0.0,False
262,1047950,8,2096,-500.0,500.0,0.0,False
263,1051950,8,2104,-500.0,500.0,0.0,False
