environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_entropy_fixed,310,0,0,-500.0,-500.0,500.0,1.0861308574676514,0.2818240821361542,0.21657556295394897,-1.11106538772583,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,4,16000,-500.0,-500.0,500.0,1.086246132850647,0.2817919850349426,0.21568778157234192,-1.1109580993652344,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,7,28000,-500.0,-500.0,500.0,1.0861623287200928,0.2820700705051422,0.21431823074817657,-1.1110414266586304,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,10,40000,-500.0,-500.0,500.0,1.0863909721374512,0.28294309973716736,0.21757739782333374,-1.1108254194259644,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,13,52000,-500.0,-500.0,500.0,1.0861464738845825,0.2821340262889862,0.2114492952823639,-1.1111050844192505,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,16,64000,-500.0,-500.0,500.0,1.087296724319458,0.2846841514110565,0.21829965710639954,-1.1099003553390503,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,19,76000,-500.0,-500.0,500.0,1.0873078107833862,0.28498104214668274,0.21778909862041473,-1.1098568439483643,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,22,88000,-500.0,-500.0,500.0,1.0882182121276855,0.2862373888492584,0.22036847472190857,-1.1089423894882202,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,25,100000,-500.0,-500.0,500.0,1.0876576900482178,0.2860671579837799,0.22129954397678375,-1.1095201969146729,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,28,112000,-500.0,-500.0,500.0,1.0878303050994873,0.28674381971359253,0.21921420097351074,-1.1093411445617676,0.0,False
Acrobot-v1,gpomdp_entropy_fixed,310,31,122880,-500.0,-500.0,500.0,1.0874944925308228,0.2862071990966797,0.2211347073316574,-1.1097081899642944,0.0,False
