environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,301,0,0,-500.0,-500.0,500.0,1.0957791805267334,0.30499541759490967,0.24332767724990845,-1.1015182733535767,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,4,16000,-500.0,-500.0,500.0,1.0965023040771484,0.3087001442909241,0.2508551776409149,-1.1007682085037231,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,7,28000,-500.0,-500.0,500.0,1.0960575342178345,0.30653783679008484,0.24214757978916168,-1.1012338399887085,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,10,40000,-500.0,-500.0,500.0,1.0961977243423462,0.3068022131919861,0.23876701295375824,-1.1010851860046387,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,13,51915,-500.0,-500.0,500.0,1.0960766077041626,0.30669334530830383,0.24297450482845306,-1.1012123823165894,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,16,63915,-500.0,-500.0,500.0,1.09650719165802,0.3088090717792511,0.2487030327320099,-1.1007654666900635,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,19,75915,-500.0,-500.0,500.0,1.0961774587631226,0.30695849657058716,0.23658211529254913,-1.10110604763031,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,22,87835,-500.0,-500.0,500.0,1.0963727235794067,0.30842286348342896,0.24633441865444183,-1.1009031534194946,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,25,99835,-500.0,-500.0,500.0,1.0966075658798218,0.3096463978290558,0.25014257431030273,-1.1006619930267334,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,28,111835,-500.0,-500.0,500.0,1.0966849327087402,0.310444712638855,0.23974257707595825,-1.1005840301513672,555.232544854984,True
Acrobot-v1,gpomdp_logbarrier_fixed,301,31,122880,-500.0,-500.0,500.0,1.0968356132507324,0.31161168217658997,0.250746488571167,-1.1004273891448975,555.232544854984,True
