update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,32000,8,64,-500.0,500.0,546.4135158976487,True
9,36000,8,72,-500.0,500.0,546.4135158976487,True
10,40000,8,80,-500.0,500.0,546.4135158976487,True
11,44000,8,88,-500.0,500.0,546.4135158976487,True
12,48000,8,96,-500.0,500.0,546.4135158976487,True
13,52000,8,104,-500.0,500.0,546.4135158976487,True
14,56000,8,112,-500.0,500.0,546.4135158976487,True
15,60000,8,120,-500.0,500.0,546.4135158976487,True
16,64000,8,128,-500.0,500.0,546.4135158976487,True
17,68000,8,136,-500.0,500.0,546.4135158976487,True
18,72000,8,144,-500.0,500.0,546.4135158976487,True
19,76000,8,152,-500.0,500.0,546.4135158976487,True
20,80000,8,160,-500.0,500.0,546.4135158976487,True
21,84000,8,168,-500.0,500.0,546.4135158976487,True
22,87998,8,176,-499.625,499.75,546.4135158976487,True
23,91998,8,184,-500.0,500.0,546.4135158976487,True
24,95998,8,192,-500.0,500.0,546.4135158976487,True
25,99998,8,200,-500.0,500.0,546.4135158976487,True
26,103998,8,208,-500.0,500.0,546.4135158976487,True
27,107998,8,216,-500.0,500.0,546.4135158976487,True
28,111998,8,224,-500.0,500.0,546.4135158976487,True
29,115998,8,232,-500.0,500.0,546.4135158976487,True
30,119998,8,240,-500.0,500.0,546.4135158976487,True
31,123998,8,248,-500.0,500.0,546.4135158976487,True
32,127998,8,256,-500.0,500.0,546.4135158976487,True
33,131998,8,264,-500.0,500.0,546.4135158976487,True
34,135998,8,272,-500.0,500.0,546.4135158976487,True
35,139998,8,280,-500.0,500.0,546.4135158976487,True
36,143998,8,288,-500.0,500.0,546.4135158976487,True
37,147998,8,296,-500.0,500.0,546.4135158976487,True
38,151998,8,304,-500.0,500.0,546.4135158976487,True
39,155998,8,312,-500.0,500.0,546.4135158976487,True
40,159998,8,320,-500.0,500.0,546.4135158976487,True
41,163998,8,328,-500.0,500.0,546.4135158976487,True
42,167998,8,336,-500.0,500.0,546.4135158976487,True
43,171998,8,344,-500.0,500.0,546.4135158976487,True
44,175998,8,352,-500.0,500.0,546.4135158976487,True
45,179998,8,360,-500.0,500.0,546.4135158976487,True
46,183998,8,368,-500.0,500.0,546.4135158976487,True
47,187998,8,376,-500.0,500.0,546.4135158976487,True
48,191998,8,384,-500.0,500.0,546.4135158976487,True
49,195998,8,392,-500.0,500.0,546.4135158976487,True
50,199998,8,400,-500.0,500.0,546.4135158976487,True
51,203998,8,408,-500.0,500.0,546.4135158976487,True
52,207998,8,416,-500.0,500.0,546.4135158976487,True
53,211998,8,424,-500.0,500.0,546.4135158976487,True
54,215998,8,432,-500.0,500.0,546.4135158976487,True
55,219998,8,440,-500.0,500.0,546.4135158976487,True
56,223998,8,448,-500.0,500.0,546.4135158976487,True
57,227998,8,456,-500.0,500.0,546.4135158976487,True
58,231998,8,464,-500.0,500.0,546.4135158976487,True
59,235998,8,472,-500.0,500.0,546.4135158976487,True
60,239998,8,480,-500.0,500.0,546.4135158976487,True
61,243998,8,488,-500.0,500.0,546.4135158976487,True
62,247998,8,496,-500.0,500.0,546.4135158976487,True
63,251998,8,504,-500.0,500.0,546.4135158976487,True
64,255998,8,512,-500.0,500.0,546.4135158976487,True
65,259998,8,520,-500.0,500.0,546.4135158976487,True
66,263998,8,528,-500.0,500.0,546.4135158976487,True
67,267998,8,536,-500.0,500.0,546.4135158976487,True
68,271998,8,544,-500.0,500.0,546.4135158976487,True
69,275998,8,552,-500.0,500.0,546.4135158976487,True
70,279998,8,560,-500.0,500.0,546.4135158976487,True
71,283998,8,568,-500.0,500.0,546.4135158976487,True
72,287998,8,576,-500.0,500.0,546.4135158976487,True
73,291998,8,584,-500.0,500.0,546.4135158976487,True
74,295998,8,592,-500.0,500.0,546.4135158976487,True
75,299998,8,600,-500.0,500.0,546.4135158976487,True
76,303998,8,608,-500.0,500.0,546.4135158976487,True
77,307998,8,616,-500.0,500.0,546.4135158976487,True
78,311998,8,624,-500.0,500.0,546.4135158976487,True
79,315998,8,632,-500.0,500.0,546.4135158976487,True
80,319998,8,640,-500.0,500.0,546.4135158976487,True
81,323998,8,648,-500.0,500.0,546.4135158976487,True
82,327998,8,656,-500.0,500.0,546.4135158976487,True
83,331998,8,664,-500.0,500.0,546.4135158976487,True
84,335998,8,672,-500.0,500.0,546.4135158976487,True
85,339998,8,680,-500.0,500.0,546.4135158976487,True
86,343998,8,688,-500.0,500.0,546.4135158976487,True
87,347998,8,696,-500.0,500.0,546.4135158976487,True
88,351998,8,704,-500.0,500.0,546.4135158976487,True
89,355998,8,712,-500.0,500.0,546.4135158976487,True
90,359998,8,720,-500.0,500.0,546.4135158976487,True
91,363998,8,728,-500.0,500.0,546.4135158976487,True
92,367998,8,736,-500.0,500.0,546.4135158976487,True
93,371998,8,744,-500.0,500.0,546.4135158976487,True
94,375998,8,752,-500.0,500.0,546.4135158976487,True
95,379998,8,760,-500.0,500.0,546.4135158976487,True
96,383998,8,768,-500.0,500.0,546.4135158976487,True
97,387998,8,776,-500.0,500.0,546.4135158976487,True
98,391998,8,784,-500.0,500.0,546.4135158976487,True
99,395998,8,792,-500.0,500.0,546.4135158976487,True
100,399998,8,800,-500.0,500.0,546.4135158976487,True
101,403998,8,808,-500.0,500.0,546.4135158976487,True
102,407998,8,816,-500.0,500.0,546.4135158976487,True
103,411998,8,824,-500.0,500.0,546.4135158976487,True
104,415998,8,832,-500.0,500.0,546.4135158976487,True
105,419998,8,840,-500.0,500.0,546.4135158976487,True
106,423998,8,848,-500.0,500.0,546.4135158976487,True
107,427998,8,856,-500.0,500.0,546.4135158976487,True
108,431998,8,864,-500.0,500.0,546.4135158976487,True
109,435998,8,872,-500.0,500.0,546.4135158976487,True
110,439998,8,880,-500.0,500.0,546.4135158976487,True
111,443998,8,888,-500.0,500.0,546.4135158976487,True
112,447998,8,896,-500.0,500.0,546.4135158976487,True
113,451998,8,904,-500.0,500.0,546.4135158976487,True
114,455998,8,912,-500.0,500.0,546.4135158976487,True
115,459998,8,920,-500.0,500.0,546.4135158976487,True
116,463998,8,928,-500.0,500.0,546.4135158976487,True
117,467998,8,936,-500.0,500.0,546.4135158976487,True
118,471998,8,944,-500.0,500.0,546.4135158976487,True
119,475998,8,952,-500.0,500.0,546.4135158976487,True
120,479998,8,960,-500.0,500.0,546.4135158976487,True
121,483998,8,968,-500.0,500.0,546.4135158976487,True
122,487998,8,976,-500.0,500.0,546.4135158976487,True
123,491998,8,984,-500.0,500.0,546.4135158976487,True
124,495998,8,992,-500.0,500.0,546.4135158976487,True
125,499998,8,1000,-500.0,500.0,546.4135158976487,True
126,503998,8,1008,-500.0,500.0,546.4135158976487,True
127,507998,8,1016,-500.0,500.0,546.4135158976487,True
